"","FGGuppy:HabitatKG.exp","FGKillifish:HabitatKG.exp","FGGuppy:HabitatKG.nat","FGKillifish:HabitatKG.nat","FGGuppy:HabitatKG.old","FGKillifish:HabitatKG.old","FGGuppy:HabitatKGP","FGKillifish:HabitatKGP","FGKillifish:HabitatKO","FGGuppy:HabitatKG.exp:Length.cen","FGKillifish:HabitatKG.exp:Length.cen","FGGuppy:HabitatKG.nat:Length.cen","FGKillifish:HabitatKG.nat:Length.cen","FGGuppy:HabitatKG.old:Length.cen","FGKillifish:HabitatKG.old:Length.cen","FGGuppy:HabitatKGP:Length.cen","FGKillifish:HabitatKGP:Length.cen","FGKillifish:HabitatKO:Length.cen"
"FGGuppy:HabitatKG.exp",0.353768883183535,0,0,0,0,0,0,0,0,-0.00325006543249651,0,0,0,0,0,0,0,0
"FGKillifish:HabitatKG.exp",0,0.345569770903584,0,0,0,0,0,0,0,0,-0.000834601470398127,0,0,0,0,0,0,0
"FGGuppy:HabitatKG.nat",0,0,0.125153995674342,0,0,0,0,0,0,0,0,-0.00163254885227947,0,0,0,0,0,0
"FGKillifish:HabitatKG.nat",0,0,0,0.128193434603505,0,0,0,0,0,0,0,0,-0.000526795585715971,0,0,0,0,0
"FGGuppy:HabitatKG.old",0,0,0,0,0.197028660128544,0,0,0,0,0,0,0,0,-0.00469328881189223,0,0,0,0
"FGKillifish:HabitatKG.old",0,0,0,0,0,0.204965567004285,0,0,0,0,0,0,0,0,-0.00141079102960051,0,0,0
"FGGuppy:HabitatKGP",0,0,0,0,0,0,0.0993877492575293,0,0,0,0,0,0,0,0,-0.00226112465876247,0,0
"FGKillifish:HabitatKGP",0,0,0,0,0,0,0,0.10422705066223,0,0,0,0,0,0,0,0,-0.000820781630244687,0
"FGKillifish:HabitatKO",0,0,0,0,0,0,0,0,0.0896262937122885,0,0,0,0,0,0,0,0,-0.000249995923255063
"FGGuppy:HabitatKG.exp:Length.cen",-0.00325006543249651,0,0,0,0,0,0,0,0,0.000424213845885003,0,0,0,0,0,0,0,0
"FGKillifish:HabitatKG.exp:Length.cen",0,-0.000834601470398127,0,0,0,0,0,0,0,0,4.17079362306754e-05,0,0,0,0,0,0,0
"FGGuppy:HabitatKG.nat:Length.cen",0,0,-0.00163254885227947,0,0,0,0,0,0,0,0,0.00022579433252112,0,0,0,0,0,0
"FGKillifish:HabitatKG.nat:Length.cen",0,0,0,-0.000526795585715971,0,0,0,0,0,0,0,0,1.88630465129115e-05,0,0,0,0,0
"FGGuppy:HabitatKG.old:Length.cen",0,0,0,0,-0.00469328881189223,0,0,0,0,0,0,0,0,0.000822047417787632,0,0,0,0
"FGKillifish:HabitatKG.old:Length.cen",0,0,0,0,0,-0.00141079102960051,0,0,0,0,0,0,0,0,5.73752198477372e-05,0,0,0
"FGGuppy:HabitatKGP:Length.cen",0,0,0,0,0,0,-0.00226112465876247,0,0,0,0,0,0,0,0,0.00036129576509204,0,0
"FGKillifish:HabitatKGP:Length.cen",0,0,0,0,0,0,0,-0.000820781630244687,0,0,0,0,0,0,0,0,3.4480428071037e-05,0
"FGKillifish:HabitatKO:Length.cen",0,0,0,0,0,0,0,0,-0.000249995923255063,0,0,0,0,0,0,0,0,9.84897087422402e-06
